epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1553.91,1.06784,0.75772,1.17321,0.86334,0.73829,0.87522,0.55436,1.14766,0.74072,1.29228,0.008416,0.008416,0.008416
82,1573.94,1.06355,0.76789,1.17714,0.82098,0.7777,0.86155,0.54733,1.1538,0.77052,1.30093,0.0083962,0.0083962,0.0083962
83,1593.86,1.05925,0.76393,1.16405,0.85343,0.78801,0.86979,0.54863,1.15826,0.73404,1.31087,0.0083764,0.0083764,0.0083764
84,1614.86,1.05311,0.75636,1.16675,0.8227,0.79323,0.88249,0.56043,1.20125,0.72279,1.30715,0.0083566,0.0083566,0.0083566
85,1634.64,1.06838,0.76205,1.16513,0.80494,0.79027,0.862,0.55693,1.13996,0.76112,1.26766,0.0083368,0.0083368,0.0083368
86,1655.09,1.04706,0.75943,1.16429,0.81006,0.82998,0.86912,0.56534,1.18099,0.75972,1.28088,0.008317,0.008317,0.008317
87,1675.39,1.05168,0.75721,1.15836,0.82824,0.78021,0.86153,0.55204,1.15434,0.75685,1.28136,0.0082972,0.0082972,0.0082972
88,1695.84,1.0559,0.78225,1.16455,0.83029,0.79698,0.86914,0.55073,1.19707,0.75289,1.32582,0.0082774,0.0082774,0.0082774
89,1716.43,1.02743,0.75065,1.15371,0.83242,0.76286,0.86201,0.54795,1.17861,0.76813,1.30719,0.0082576,0.0082576,0.0082576
90,1737.49,1.05189,0.75283,1.15385,0.84892,0.7765,0.85775,0.53934,1.22973,0.75984,1.30575,0.0082378,0.0082378,0.0082378
91,1758.49,1.04524,0.74886,1.163,0.84583,0.77818,0.86321,0.55833,1.15756,0.73782,1.28807,0.008218,0.008218,0.008218
92,1778.46,1.05103,0.74627,1.15716,0.83074,0.76775,0.86777,0.54765,1.15772,0.75451,1.28859,0.0081982,0.0081982,0.0081982
93,1797.63,1.03593,0.73629,1.15488,0.81258,0.76534,0.84306,0.52589,1.21001,0.82542,1.31788,0.0081784,0.0081784,0.0081784
